mol_idx,smiles,half-life
1,CC1=CC2=CC(=NC(=C2O1)NC3=CC(=CC=C3)F)C4=C(ON=C4C)C,8.2
2,CN(CC1=CC(=CC=C1)F)C2CCOC3=CC=CC=C23,8.6
3,C1COC2=C1C(=CN=C2NC3=CN=CN=C3)C4=CC(=CC=C4)F,9.6
4,C1CN(C2=C1C=CC=N2)C(=O)C3=CC=C(C=C3)C4=NC=C5N4C=C(N=C5)C6=CC(=CC=C6)F,17.3
5,CC1=CC=C(C=C1)NC(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,17.4
6,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CC=CS3,17.4
7,C1=CC(=CC(=C1)F)C2=NOC(=N2)C3=NC(=NO3)C4=CC=NC=C4,26.4
8,CN1C=CC(=N1)NC(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC(=CC=C5)F,33.2
9,CC1=C(C=CC(=C1)F)OC2CN(C2)CC3=CC=C(C=C3)C#N,35.4
10,C1CN2C=C(N=C2N(C1)C(=O)C3=CC=CO3)C4=CC=CC(=C4)C#N,36.7
11,C1CN(CC12COC3=CC=CC=C3C(=O)N2)CC4=CC=C(C=C4)C#N,38.4
12,C1C(C2(CN1CC3=CC(=CC=C3)C#N)CN(C2)C4=CC=CC=C4)COC5=CC=CC=C5,41.6
13,CC1=C(C=CC(=C1)OC2CN(C2)CC3=CC=C(C=C3)C#N)F,43.8
14,CC1=CC=CC=C1C2=C3C(=NN2)N=CC(=N3)C4=CC(=CC=C4)F,49.0
15,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCN5C=CN=C5)C=N2,50.8
16,C1COC[C@@H](CN1CC2=CC(=CC=C2)C#N)O,51.1
17,C1=CC=C(C=C1)C2=NC=C(C=N2)NC(=O)C3=CC(=CC=C3)F,52.0
18,CC(C)(C)C1=COC(=N1)[C@@H]2COCCN2CC3=CC(=CC=C3)C#N,56.6
19,C1[C@H]([C@@H](CN1CC2=CC(=CC=C2)C#N)C3=CC=CC=N3)CO,57.4
20,C1COC[C@H](N1CC2=CN=CN2)C3=NC=C(N3)C4=CC(=CC=C4)F,59.3
21,C1C(CN1CC2=CC=C(C=C2)C#N)OC3=C(C=C(C=C3)F)F,62.9
22,CC1=CC=C(C=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3CC5=CC(=CC=C5)C#N)NC=N4,63.4
23,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=COC=C3,70.5
24,C1C(CN1CC2=CC=C(C=C2)C#N)OC3=CC(=C(C=C3)F)F,71.4
25,CC1=C(C=CC(=C1)OC)C2=C3C(=NN2)N=CC(=N3)C4=CC(=CC=C4)F,75.8
26,C1CCCN(CC1)C2=NC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC4,76.2
27,C1COC2=C1C(=CN=C2NC3=CC(=CC=C3)F)C4=CN=CC=C4,76.6
28,COC1CCC12CCN(CC2)C(=O)C3=CC=C(C=C3)C#N,79.2
29,CC(=O)N1CCC(CC1)CC2=CC=C(C=C2)C(=O)NC3CC3,80.1
30,COC1=CN=CC(=C1)NC2=NC=C(C3=C2OCC3)C4=CC(=CC=C4)F,80.3
31,C1COC2(CCN(CC2)CC3=CC=CC=C3C#N)CC1O,80.3
32,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CSC=C3,82.6
33,CNC(=O)[C@@H]1CN(C[C@H]1COC)C(=O)C2=CC=CC(=C2)C#N,86.6
34,CC1=C(C(=NO1)C)C2=CC(=CN3C2=CN=C3)C4=CC(=CC=C4)F,90.0
35,CC1=C(SC=C1)C2=C3C(=NN2)N=CC(=N3)C4=CC(=CC=C4)F,93.0
36,C1CN(CCC1N2CCNC2=O)CC3=CC=C(C=C3)C#N,93.2
37,C1COC[C@H](N1CC2=CC(=CC=C2)C#N)C3=NC=C(N3)C4=CC=C(C=C4)F,94.7
38,C1CC1NC(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,95.2
39,C1=CC(=CC(=C1)F)NC2=NC3=C(C=C2)N=CN(C3=O)C4=CN=CC=C4,96.4
40,C1CN(C2=CC=CC=C21)C3CN(C3)CC4=CC=C(C=C4)C#N,96.8
41,CCOC1=CC(=O)N2CCCCC2=C1C(=O)NC3=CC=C(C=C3)C#N,101.4
42,C1CCN(CC1)C(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,103.4
43,C1[C@H]([C@@H](CN1CC2=CC=C(C=C2)C#N)C3=CC=NC=C3)CO,107.1
44,COCCNC1=NC=NC2=C1CCN(CC2)C(=O)C3=CSC=N3,110.7
45,CN1C=NC2=C(C1=O)N=C(C=C2)NC3=CC(=CC=C3)F,115.2
46,CC1=CC=CC=C1C2=C3C(=NN2)N=CC(=N3)C4=CC=CC=C4C#N,120.0
47,C1COCCN1C2=CC(=O)C3=C(O2)C(=NC=C3)C4=CC(=CC=C4)F,120.0
48,C1COCCN1C(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,120.0
49,C1CN(C[C@H]1C2=NC3=CC=CC=C3N2)CC4=CC(=CC=C4)C#N,120.0
50,C1COCC(=O)N1C2=CC(=CN3C2=CN=C3)C4=CC(=CC=C4)F,120.0
51,C1COC[C@@H](CN1C(=O)C2=CC=C(C=C2)C#N)OC3=NC=CN=C3,120.0
52,CCN1CCN(CC1)C(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,120.0
53,C1CN(CC1OC2=CN=CC=C2)C(=O)C3=CC(=CC=C3)F,120.0
54,COCCOC1CCN(CC1)C(=O)NC2=CC(=CC=C2)F,120.0
55,CN1C=NC2=C1CN([C@@H](C2)C(=O)OC)C(=O)C3=CC=C(C=C3)C#N,120.0
56,COCCNC(=O)C1=C(N2C=CSC2=N1)C3=CC=CC(=C3)C#N,120.0
57,C[C@]1(CCN(C[C@H]1N2CCCC2)CC3=CC=C(C=C3)C#N)O,120.0
58,C1CN(CCC1N2CCOC2=O)CC3=CC=C(C=C3)C#N,120.0
59,C1COC2=C1C(=CN=C2NC3=CN=CC=C3)C4=CC(=CC=C4)F,120.0
60,C1CN(CC12NC(=O)C3=CC=CC=C3O2)CC4=CC=C(C=C4)C#N,120.0
61,C1CN(CCC12CC(=O)C3=CC=CC=C3O2)CC4=CC=C(C=C4)C#N,120.0
62,C1CC2CN(CC1N2CC(F)(F)F)C3=CN=CC(=C3)C#N,120.0
63,CCOCCOC1CCN(CC1)C(=O)NC2=CC(=CC=C2)F,120.0
64,C1C[C@@H]2C3CC(CN(C3)C(=O)N4CCN(CC4)[S+](=O)(C5=CC=CC(=C5)F)[O-])CN2C(=O)C1,120.0
65,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CC=NC=C3,120.0
66,CN(CC1CCOC1)C(=O)NC2=CC(=CC=C2)F,120.0
67,C1COC2=C1C(=CN=C2NC(=O)C3=CC=NC=C3)C4=CC(=CC=C4)F,120.0
68,CN(C)[C@@H]1CN(C[C@H]1CO)C(=O)C2=CC=C(C=C2)C#N,120.0
69,COC1=CC=C(C=C1)OC2CN(C2)CC3=CC=C(C=C3)C#N,120.0
70,CC1=NN=C(O1)[C@H]2CCN(C2)CC3=CC=C(C=C3)C#N,120.0
71,C1CN(CCC1N2CC3=CC=CN3C2=O)CC4=CC=C(C=C4)C#N,120.0
72,C1CN2C=C(N=C2N(C1)C(=O)C3=CC=CS3)C4=CC=CC(=C4)C#N,120.0
73,CN1CCC(CC1)OC2CCN(CC2)C(=O)C3=CC(=CC=C3)F,120.0
74,CC1=NOC(=N1)C2=CN(N=N2)C3CCN(C3)C(=O)C4=CC(=CC=C4)F,120.0
75,C1CN(C[C@H]1C2=NN=C(O2)C3=CC=CO3)CC4=CC(=CC=C4)C#N,120.0
76,C1CN2C=C(N=C2N(C1)C(=O)C3=COC=C3)C4=CC=CC(=C4)C#N,120.0
77,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CN=CC=C3,120.0
78,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)O)C=N2,120.0
79,C1=CC(=CC(=C1)F)CN2C3=C(C=CC(=C3)C(=O)O)N4C(=CC=N4)C2=O,120.0
80,C1CN(CCC(=O)NCCOC1)C(=O)C2=CC=C(C=C2)C#N,120.0
81,CN1C2CCCCN2C(=O)C3=C1C=C(C=C3)C(=O)NC4=CC=C(C=C4)C#N,120.0
82,CCN1CCN(CC1)C(=O)CC2=CC=CN2C3=CC=C(C=C3)F,120.0
83,CCN1CCN(CC1)C(=O)C2=CC(=NC3=C2C=NN3C)C4=CC=C(C=C4)F,120.0
84,CCN1CCN(CC1)C(=O)C2=NN3C=NN=C3C(=C2)C4=CC=CC=C4OC,120.0
85,CCN1CCN(CC1)C(=O)C2=CC(=NC3=C2C=NN3C)C4=CN=CC=C4,120.0
86,CCN1CCN(CC1)C(=O)C2=CN3C=CN=C3C=C2,120.0
87,CC1(C2(CCN(CC2)CC3=CC(=CC=C3)C#N)OC(=O)N1CC4=CC=CC=C4)C5=CC=CC=C5,120.0
88,CC1=NN2CCCN(C2=C1C3=CC=CC=C3OC4=CC=CC=C4)CC5=CC(=CC=C5)C#N,120.0
89,CCN1CCN(CC1)C(=O)C2CN3C=CC=C3C(=O)N2CC(C)C,120.0
90,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCC5=CN=CN5)C=N2,14.9
91,CC1=CC2=CC(=NC(=C2O1)NC3=CC=CC=C3)C4=C(ON=C4C)C,35.6
92,CN(CC1=CC=CC=C1)C2CCOC3=CC=CC=C23,7.6
93,C1COC2=C1C(=CN=C2NC3=CN=CN=C3)C4=CC=CC=C4,10.3
94,C1CN(C2=C1C=CC=N2)C(=O)C3=CC=C(C=C3)C4=NC=C5N4C=C(N=C5)C6=CC=CC=C6,13.3
95,CC1=CC=C(C=C1)NC(=O)C2=C(N3C=CSC3=N2)C4=CC(=CC=C4)OC,93.0
96,C1CN(CC1OC2=CC=CC=C2)C(=O)C3=CC=CS3,38.3
97,C1=CC=C(C=C1)C2=NOC(=N2)C3=NC(=NO3)C4=CC=NC=C4,25.7
98,CN1C=CC(=N1)NC(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC=CC=C5,32.2
99,CC1=C(C=CC(=C1)F)OC2CN(C2)CC3=CC=C(C=C3)OC,21.0
100,COC1=CC=CC(=C1)C2=CN3CCCN(C3=N2)C(=O)C4=CC=CO4,59.6
101,COC1=CC=C(C=C1)CN2CCC3(C2)COC4=CC=CC=C4C(=O)N3,34.7
102,C1C(C2(CN1CC3=CC=C(C=C3)C(=O)O)CN(C2)C4=CC=CC=C4)COC5=CC=CC=C5,120.0
103,CC1=C(C=CC(=C1)OC2CN(C2)CC3=CC=C(C=C3)OC)F,21.6
104,CC1=CC=CC=C1C2=C3C(=NN2)N=CC(=N3)C4=CC=CC=C4,88.7
105,C1=CC=C(C=C1)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCN5C=CN=C5)C=N2,50.8
106,COC1=CC=CC(=C1)CN2CCOC[C@@H](C2)O,28.2
107,C1=CC=C(C=C1)C2=NC=C(C=N2)NC(=O)C3=CC=CC=C3,120.0
108,CC(C)(C)C1=COC(=N1)[C@@H]2COCCN2CC3=CC=C(C=C3)C(=O)O,113.1
109,COC1=CC=CC(=C1)CN2C[C@H]([C@@H](C2)C3=CC=CC=N3)CO,120.0
110,C1COC[C@H](N1CC2=CN=CN2)C3=NC=C(N3)C4=CC=CC=C4,120.0
